Group,Title,Image,Description,Address,Latitude,Longitude
a,Palazzo reale,"","<a href=""https://www.palazzorealemilano.it/homepage"" target=""_blank"">view website</a> ", Piazza Duomo ,45.46324,9.19085
a,Wesleyan University,"","<a href=""http://wesleyan.edu"" target=""_blank"">view website</a>",45 Wyllys Ave Middletown CT 06459,41.55709,-72.65691
